Species,Year,Variable,Catch,TACC,Dollar Value (millions)
Black Cardinal Fish,2011,Asset value,862.7,2548,3.7
Black Cardinal Fish,2012,Asset value,741.6,1968,2.7
Black Cardinal Fish,2013,Asset value,575.1,1968,2.7
Black Cardinal Fish,2014,Asset value,541.9,1968,3
Black Cardinal Fish,2015,Asset value,665.3,1968,3.7
Black Cardinal Fish,2016,Asset value,521.6,1968,3.2
Black Cardinal Fish,2017,Asset value,597.5,1968,4.2
Black Cardinal Fish,2018,Asset value,401,1968,4.4
Bladder Kelp,2011,Asset value,53.3,1509.6,0.2
Bladder Kelp,2012,Asset value,34.2,1509.6,0.2
Bladder Kelp,2013,Asset value,35,1509.6,0.2
Bladder Kelp,2014,Asset value,93.5,1509.6,0.2
Bladder Kelp,2015,Asset value,62.1,1509.6,
Bladder Kelp,2016,Asset value,30.5,1509.6,
Bladder Kelp,2017,Asset value,41.8,1509.6,
Bladder Kelp,2018,Asset value,40.8,1509.6,
Blue Cod,1996,Asset value,0,2664.7,19.5
Blue Cod,1997,Asset value,0,2664.7,20.8
Blue Cod,1998,Asset value,0,2664.7,15.7
Blue Cod,1999,Asset value,0,2664.7,15.4
Blue Cod,2000,Asset value,0,2664.7,19.8
Blue Cod,2001,Asset value,0,2664.7,22.1
Blue Cod,2002,Asset value,2324.3,2681.5,28.4
Blue Cod,2003,Asset value,2457.5,2681.5,33
Blue Cod,2004,Asset value,2501.9,2681.5,39.4
Blue Cod,2005,Asset value,2452.3,2681.5,46.7
Blue Cod,2006,Asset value,2187.4,2681.5,56.7
Blue Cod,2007,Asset value,2419.8,2681.5,46.2
Blue Cod,2008,Asset value,2316,2681.5,41.3
Blue Cod,2009,Asset value,2418.2,2681.5,39.6
Blue Cod,2010,Asset value,2162.5,2681.5,46.3
Blue Cod,2011,Asset value,2342.6,2681.5,48
Blue Cod,2012,Asset value,2216.5,2331.6,45.8
Blue Cod,2013,Asset value,2193.5,2331.6,53.8
Blue Cod,2014,Asset value,2176.1,2331.6,63.8
Blue Cod,2015,Asset value,2207.4,2331.6,56.5
Blue Cod,2016,Asset value,2105.7,2331.6,130.2
Blue Cod,2017,Asset value,2155.1,2331.6,81.4
Blue Cod,2018,Asset value,2045.3,2331.6,148
Blue Mackerel,2003,Asset value,11373.8,11550,19.6
Blue Mackerel,2004,Asset value,9372.8,11550,21.2
Blue Mackerel,2005,Asset value,12746.2,11550,31.9
Blue Mackerel,2006,Asset value,10643,11550,15.6
Blue Mackerel,2007,Asset value,10688.3,11550,13.9
Blue Mackerel,2008,Asset value,8982.3,11550,13.8
Blue Mackerel,2009,Asset value,6740,11550,13.8
Blue Mackerel,2010,Asset value,11815.5,11550,14
Blue Mackerel,2011,Asset value,8638.2,11550,13.5
Blue Mackerel,2012,Asset value,10816.7,11550,14.4
Blue Mackerel,2013,Asset value,9716.2,11550,13.4
Blue Mackerel,2014,Asset value,8092.2,11550,17.1
Blue Mackerel,2015,Asset value,9128.9,11550,19.9
Blue Mackerel,2016,Asset value,8033,11550,26.2
Blue Mackerel,2017,Asset value,8383.7,11550,24.6
Blue Mackerel,2018,Asset value,11399.7,11550,28.8
Blue Moki,1996,Asset value,0,604.1,2.8
Blue Moki,1997,Asset value,0,604.6,3.6
Blue Moki,1998,Asset value,0,604.1,2.6
Blue Moki,1999,Asset value,0,604.1,2.3
Blue Moki,2000,Asset value,0,604.6,2.2
Blue Moki,2001,Asset value,0,604.1,2.8
Blue Moki,2002,Asset value,452.4,608.1,3.1
Blue Moki,2003,Asset value,475.6,608.1,3.6
Blue Moki,2004,Asset value,441.2,608.1,4.3
Blue Moki,2005,Asset value,501.8,608.1,4.5
Blue Moki,2006,Asset value,483.5,608.1,3.1
Blue Moki,2007,Asset value,503.6,608.1,4.2
Blue Moki,2008,Asset value,534.7,608.1,4.5
Blue Moki,2009,Asset value,524.1,608.1,3.2
Blue Moki,2010,Asset value,521.9,608.1,3.7
Blue Moki,2011,Asset value,574.5,608.1,5
Blue Moki,2012,Asset value,571.3,608.1,4.1
Blue Moki,2013,Asset value,549,608.1,4.5
Blue Moki,2014,Asset value,535,608.1,5.2
Blue Moki,2015,Asset value,529.7,640.9,5.9
Blue Moki,2016,Asset value,586.4,640.9,6.8
Blue Moki,2017,Asset value,555.5,640.9,6.3
Blue Moki,2018,Asset value,619.8,640.9,7.6
Blue Shark,2005,Asset value,752.4,1860,8
Blue Shark,2006,Asset value,656.2,1860,3.9
Blue Shark,2007,Asset value,789.9,1860,1.1
Blue Shark,2008,Asset value,682.8,1860,0.9
Blue Shark,2009,Asset value,800.2,1860,2.6
Blue Shark,2010,Asset value,695.7,1860,0.9
Blue Shark,2011,Asset value,770.4,1860,1.5
Blue Shark,2012,Asset value,1005.8,1860,2.2
Blue Shark,2013,Asset value,697.7,1860,1.2
Blue Shark,2014,Asset value,117.1,1860,0.2
Blue Shark,2015,Asset value,142.1,1860,1.5
Blue Shark,2016,Asset value,162.5,1860,0.9
Blue Shark,2017,Asset value,115.7,1860,3.1
Blue Shark,2018,Asset value,143.2,1860,3
Blue Warehou,1996,Asset value,0,4512,16.6
Blue Warehou,1997,Asset value,0,4512,10.6
Blue Warehou,1998,Asset value,0,4470.8,13.4
Blue Warehou,1999,Asset value,0,4512,14.8
Blue Warehou,2000,Asset value,0,4512,11.1
Blue Warehou,2001,Asset value,0,4512,13.8
Blue Warehou,2002,Asset value,3112,4512.4,13.5
Blue Warehou,2003,Asset value,5101.1,4512.4,14.2
Blue Warehou,2004,Asset value,4819.9,4512.4,26.7
Blue Warehou,2005,Asset value,4283.8,4512.4,17.7
Blue Warehou,2006,Asset value,4569.8,4512.4,15.4
Blue Warehou,2007,Asset value,4447.7,4512.4,11.4
Blue Warehou,2008,Asset value,1530.1,4512.4,19.2
Blue Warehou,2009,Asset value,3119.8,4512.4,19.8
Blue Warehou,2010,Asset value,3385.7,4512.4,14.5
Blue Warehou,2011,Asset value,2923.9,4512.4,18
Blue Warehou,2012,Asset value,3380.6,4512.4,16.9
Blue Warehou,2013,Asset value,2769.6,4512.4,17.9
Blue Warehou,2014,Asset value,2701.3,4512.4,20.7
Blue Warehou,2015,Asset value,3713.3,4512.4,27.1
Blue Warehou,2016,Asset value,2890.9,4512.4,19
Blue Warehou,2017,Asset value,3448,4512.4,27.8
Blue Warehou,2018,Asset value,2475.7,4512.4,23.6
Bluenose,1996,Asset value,0,2170.3,30.5
Bluenose,1997,Asset value,0,2465.5,36.9
Bluenose,1998,Asset value,0,2489.9,37
Bluenose,1999,Asset value,0,2489.9,38.3
Bluenose,2000,Asset value,0,2489.9,32.1
Bluenose,2001,Asset value,0,2489.9,48.5
Bluenose,2002,Asset value,2783.8,3058.4,52.1
Bluenose,2003,Asset value,3001.7,3058.4,73.1
Bluenose,2004,Asset value,3090,3058.4,55.3
Bluenose,2005,Asset value,3013.3,3233,61.3
Bluenose,2006,Asset value,2474.8,3233,44.5
Bluenose,2007,Asset value,2424.7,3233,58.5
Bluenose,2008,Asset value,2499,3233,61.3
Bluenose,2009,Asset value,2038.2,2335,44.4
Bluenose,2010,Asset value,2059.1,2335,47.6
Bluenose,2011,Asset value,1695.9,2335,48.6
Bluenose,2012,Asset value,1219.9,1590,37
Bluenose,2013,Asset value,1139.2,1110,28.8
Bluenose,2014,Asset value,1154,1110,29.4
Bluenose,2015,Asset value,1104.3,1110,38.3
Bluenose,2016,Asset value,960.6,1110,42.6
Bluenose,2017,Asset value,823.4,910,43.7
Bluenose,2018,Asset value,653.3,630,31.3
Butterfish,2003,Asset value,130.2,162,3
Butterfish,2004,Asset value,126.2,162,3
Butterfish,2005,Asset value,131.9,162,1.7
Butterfish,2006,Asset value,94.8,162,1.9
Butterfish,2007,Asset value,116.8,162,2.6
Butterfish,2008,Asset value,114.5,162,1.6
Butterfish,2009,Asset value,122,162,2.4
Butterfish,2010,Asset value,97.9,162,1.5
Butterfish,2011,Asset value,116.2,162,2
Butterfish,2012,Asset value,119.5,162,1.6
Butterfish,2013,Asset value,110.4,162,1.8
Butterfish,2014,Asset value,95.1,162,1.5
Butterfish,2015,Asset value,99.3,162,2.2
Butterfish,2016,Asset value,94.5,162,2.7
Butterfish,2017,Asset value,114.3,162,2.5
Butterfish,2018,Asset value,105.3,162,3.1
Cockle,2003,Asset value,806.7,1736,1.2
Cockle,2004,Asset value,1533.4,3206,2.8
Cockle,2005,Asset value,1379.4,3206,3.1
Cockle,2006,Asset value,1539.7,3214,
Cockle,2007,Asset value,1355,3214,4.2
Cockle,2008,Asset value,1148.1,3214,
Cockle,2009,Asset value,1169.2,3214,
Cockle,2010,Asset value,1214.4,3214,
Cockle,2011,Asset value,1247.5,3214,0.1
Cockle,2012,Asset value,1058.3,3214,
Cockle,2013,Asset value,1059.2,3214,
Cockle,2014,Asset value,1090.2,3214,
Cockle,2015,Asset value,1078,3214,
Cockle,2016,Asset value,1186.6,3214,
Cockle,2017,Asset value,1205.5,3214,
Cockle,2018,Asset value,1220.2,3214,
Deepwater (King) Clam,2007,Asset value,0,31.5,1.2
Deepwater (King) Clam,2008,Asset value,0.5,31.5,1.2
Deepwater (King) Clam,2009,Asset value,5.1,31.5,1.2
Deepwater (King) Clam,2010,Asset value,4.6,31.5,1.1
Deepwater (King) Clam,2011,Asset value,8,31.5,1.1
Deepwater (King) Clam,2012,Asset value,10.9,31.5,
Deepwater (King) Clam,2013,Asset value,1.7,31.5,
Deepwater (King) Clam,2014,Asset value,6.1,31.5,
Deepwater (King) Clam,2015,Asset value,3.9,31.5,
Deepwater (King) Clam,2016,Asset value,4.7,31.5,
Deepwater (King) Clam,2017,Asset value,3.3,31.5,
Deepwater (King) Clam,2018,Asset value,6.7,31.5,
Deepwater Tuatua,2005,Asset value,14.3,168,
Deepwater Tuatua,2006,Asset value,13.9,168,
Deepwater Tuatua,2007,Asset value,21.2,168,
Deepwater Tuatua,2008,Asset value,23.3,168,
Deepwater Tuatua,2009,Asset value,6.9,168,
Deepwater Tuatua,2010,Asset value,12.7,168,
Deepwater Tuatua,2011,Asset value,42.7,629,
Deepwater Tuatua,2012,Asset value,16.9,629,
Deepwater Tuatua,2013,Asset value,37.1,629,
Deepwater Tuatua,2014,Asset value,63.3,890,
Deepwater Tuatua,2015,Asset value,100.2,890,0.4
Deepwater Tuatua,2016,Asset value,159.7,890,1.6
Deepwater Tuatua,2017,Asset value,216.3,1024,
Deepwater Tuatua,2018,Asset value,259.3,1024,0
Elephant Fish,1996,Asset value,0,714.7,7.1
Elephant Fish,1997,Asset value,0,714.7,6.1
Elephant Fish,1998,Asset value,0,714.7,7.9
Elephant Fish,1999,Asset value,0,715.1,7.9
Elephant Fish,2000,Asset value,0,714.8,7.3
Elephant Fish,2001,Asset value,0,1039.7,8
Elephant Fish,2002,Asset value,1055.3,1068.5,14.5
Elephant Fish,2003,Asset value,1125.7,1193.5,14.7
Elephant Fish,2004,Asset value,1138,1193.5,10.4
Elephant Fish,2005,Asset value,1189.6,1213.5,10.3
Elephant Fish,2006,Asset value,1260.4,1213.5,11.7
Elephant Fish,2007,Asset value,1250.8,1213.5,15.2
Elephant Fish,2008,Asset value,1435.9,1213.5,16.2
Elephant Fish,2009,Asset value,1384.2,1213.5,7.2
Elephant Fish,2010,Asset value,1372,1283.5,10.8
Elephant Fish,2011,Asset value,1383.6,1283.5,13.8
Elephant Fish,2012,Asset value,1376.9,1283.5,12.7
Elephant Fish,2013,Asset value,1435.4,1313.5,12.4
Elephant Fish,2014,Asset value,1394.4,1313.5,15.5
Elephant Fish,2015,Asset value,1339.6,1313.5,15.4
Elephant Fish,2016,Asset value,1400.1,1313.5,12.9
Elephant Fish,2017,Asset value,1327.6,1313.5,16
Elephant Fish,2018,Asset value,1345.1,1313.5,15.9
Flats,1996,Asset value,0,6670.3,30.8
Flats,1997,Asset value,0,6670.3,24
Flats,1998,Asset value,0,6670.3,20.4
Flats,1999,Asset value,0,6670.3,19.3
Flats,2000,Asset value,0,6670.3,18.3
Flats,2001,Asset value,0,6670.3,19.2
Flats,2002,Asset value,3088,6670.3,21.8
Flats,2003,Asset value,3298.5,6670.3,20.4
Flats,2004,Asset value,3208.2,6670.3,18.7
Flats,2005,Asset value,3875.8,6670.3,18.6
Flats,2006,Asset value,3721.4,6670.3,17.8
Flats,2007,Asset value,4065.5,6670.3,14.9
Flats,2008,Asset value,3632.4,5418.8,17.3
Flats,2009,Asset value,3413,5418.8,18.1
Flats,2010,Asset value,3273.5,5418.8,31.7
Flats,2011,Asset value,2468.5,5418.8,18
Flats,2012,Asset value,2864.6,5418.8,50.1
Flats,2013,Asset value,2778.9,5418.8,19.2
Flats,2014,Asset value,2671.4,5418.8,23.3
Flats,2015,Asset value,2465.7,5418.8,32.1
Flats,2016,Asset value,2792.1,5418.8,54.3
Flats,2017,Asset value,2852,5418.8,29.7
Flats,2018,Asset value,2012.8,5418.8,64.3
Frilled Venus Shell,2005,Asset value,1.3,16,
Frilled Venus Shell,2006,Asset value,0.2,16,
Frilled Venus Shell,2007,Asset value,0,16,0.9
Frilled Venus Shell,2008,Asset value,0,16,0.9
Frilled Venus Shell,2009,Asset value,0,16,1.2
Frilled Venus Shell,2010,Asset value,0,16,1.2
Frilled Venus Shell,2011,Asset value,0,16,1.2
Frilled Venus Shell,2012,Asset value,0.4,16,1.2
Frilled Venus Shell,2013,Asset value,1.2,16,
Frilled Venus Shell,2014,Asset value,1.1,16,
Frilled Venus Shell,2015,Asset value,0.9,16,
Frilled Venus Shell,2016,Asset value,1,16,
Frilled Venus Shell,2017,Asset value,0,16,
Frilled Venus Shell,2018,Asset value,0,16,
Frostfish,1999,Asset value,0,3858,2.9
Frostfish,2000,Asset value,0,3858,3.9
Frostfish,2001,Asset value,0,3858,2.7
Frostfish,2002,Asset value,2914.1,3858,5.2
Frostfish,2003,Asset value,2251.7,3858,4.5
Frostfish,2004,Asset value,1809,3858,7.2
Frostfish,2005,Asset value,2661.1,3858,8.8
Frostfish,2006,Asset value,2121.9,3858,2.8
Frostfish,2007,Asset value,1971,4019,2.9
Frostfish,2008,Asset value,1838.4,4019,3.1
Frostfish,2009,Asset value,1370,4019,3
Frostfish,2010,Asset value,1387.1,4019,3
Frostfish,2011,Asset value,1105.7,4019,3
Frostfish,2012,Asset value,1665.4,4019,3.4
Frostfish,2013,Asset value,1814.3,4019,4.1
Frostfish,2014,Asset value,2119.7,4019,4.2
Frostfish,2015,Asset value,2322.3,4019,4.2
Frostfish,2016,Asset value,2212,4019,3.9
Frostfish,2017,Asset value,1985.4,4019,5.9
Frostfish,2018,Asset value,2693.3,4019,5
Garfish,2003,Asset value,6.1,50,0.4
Garfish,2004,Asset value,11.5,50,0.4
Garfish,2005,Asset value,13.8,50,0.3
Garfish,2006,Asset value,8.7,50,0.5
Garfish,2007,Asset value,10.3,50,0.3
Garfish,2008,Asset value,8,50,0.3
Garfish,2009,Asset value,11.2,50,0.2
Garfish,2010,Asset value,12.1,50,0.2
Garfish,2011,Asset value,12.5,50,0.2
Garfish,2012,Asset value,8.5,50,0.2
Garfish,2013,Asset value,11.5,50,0.2
Garfish,2014,Asset value,15.4,50,0.2
Garfish,2015,Asset value,16.4,50,0.2
Garfish,2016,Asset value,24.7,50,0.2
Garfish,2017,Asset value,26,50,0.4
Garfish,2018,Asset value,20.2,50,0.3
Gemfish,1996,Asset value,0,7480.4,30
Gemfish,1997,Asset value,0,4861.9,37.7
Gemfish,1998,Asset value,0,2211,16.8
Gemfish,1999,Asset value,0,1590,11.2
Gemfish,2000,Asset value,0,1590,11.1
Gemfish,2001,Asset value,0,1590,10.5
Gemfish,2002,Asset value,664,1060.4,5.2
Gemfish,2003,Asset value,901.9,1060.4,9.7
Gemfish,2004,Asset value,1141.8,1060.4,8.4
Gemfish,2005,Asset value,1199.3,1060.4,8.3
Gemfish,2006,Asset value,687.7,1060.4,12.8
Gemfish,2007,Asset value,766.9,1060.4,10.5
Gemfish,2008,Asset value,662.2,1060.4,10.8
Gemfish,2009,Asset value,606.3,1060.4,8
Gemfish,2010,Asset value,587.2,1060.4,7.7
Gemfish,2011,Asset value,859.8,1060.4,8.9
Gemfish,2012,Asset value,637.7,1060.4,9.9
Gemfish,2013,Asset value,579.9,1060.4,8.4
Gemfish,2014,Asset value,763.9,1060.4,10.3
Gemfish,2015,Asset value,502.5,1060.4,11.7
Gemfish,2016,Asset value,677.4,1060.4,12.4
Gemfish,2017,Asset value,1159.1,1060.4,13.6
Gemfish,2018,Asset value,1612.1,1060.4,14.9
Ghost Shark,1999,Asset value,0,2943,4.9
Ghost Shark,2000,Asset value,0,2943,3.6
Ghost Shark,2001,Asset value,0,2943,4.1
Ghost Shark,2002,Asset value,2064,2943,6
Ghost Shark,2003,Asset value,2530.1,2943,5.8
Ghost Shark,2004,Asset value,1962.6,2943,7.6
Ghost Shark,2005,Asset value,2117.7,2943,7.2
Ghost Shark,2006,Asset value,1725.7,2943,2.2
Ghost Shark,2007,Asset value,2005.8,3012,2.3
Ghost Shark,2008,Asset value,1911.2,3012,2.7
Ghost Shark,2009,Asset value,1967.5,3012,3
Ghost Shark,2010,Asset value,2028.1,3012,3.7
Ghost Shark,2011,Asset value,2342,3012,3
Ghost Shark,2012,Asset value,2240.7,3012,3.1
Ghost Shark,2013,Asset value,1683.5,3047,5.7
Ghost Shark,2014,Asset value,1817.3,3047,4.4
Ghost Shark,2015,Asset value,1282.4,3047,4.9
Ghost Shark,2016,Asset value,1369.4,3047,5.8
Ghost Shark,2017,Asset value,1382.4,3047,6.3
Ghost Shark,2018,Asset value,1363.7,3047,6.7
Giant Spider Crab,2005,Asset value,33.9,419,1
Giant Spider Crab,2006,Asset value,72.1,419,
Giant Spider Crab,2007,Asset value,29.6,419,
Giant Spider Crab,2008,Asset value,29.5,419,1.9
Giant Spider Crab,2009,Asset value,36.2,419,1.2
Giant Spider Crab,2010,Asset value,84.1,419,1.9
Giant Spider Crab,2011,Asset value,43.1,419,2.3
Giant Spider Crab,2012,Asset value,98.6,419,1.1
Giant Spider Crab,2013,Asset value,139.6,419,1.7
Giant Spider Crab,2014,Asset value,146.2,419,1.6
Giant Spider Crab,2015,Asset value,223.6,419,1.6
Giant Spider Crab,2016,Asset value,80.3,419,
Giant Spider Crab,2017,Asset value,186.5,419,0.2
Giant Spider Crab,2018,Asset value,243,419,0.3
Green-lipped Mussel,2005,Asset value,538.6,1720,10.2
Green-lipped Mussel,2006,Asset value,334.8,1720,10.5
Green-lipped Mussel,2007,Asset value,229,1720,12.1
Green-lipped Mussel,2008,Asset value,152.6,1720,12
Green-lipped Mussel,2009,Asset value,74,1720,12.3
Green-lipped Mussel,2010,Asset value,187.7,1720,
Green-lipped Mussel,2011,Asset value,80.4,1720,3
Green-lipped Mussel,2012,Asset value,162.6,1720,4
Green-lipped Mussel,2013,Asset value,127.1,1720,4.8
Green-lipped Mussel,2014,Asset value,166.3,1720,10.4
Green-lipped Mussel,2015,Asset value,207,1720,13.9
Green-lipped Mussel,2016,Asset value,203.4,1720,18.4
Green-lipped Mussel,2017,Asset value,209.1,1720,17.4
Green-lipped Mussel,2018,Asset value,151.9,1720,29.6
Grey Mullet,1996,Asset value,0,1085.8,6.6
Grey Mullet,1997,Asset value,0,1085.8,4.4
Grey Mullet,1998,Asset value,0,1085.8,3
Grey Mullet,1999,Asset value,0,1005.1,1.5
Grey Mullet,2000,Asset value,0,1005,2.7
Grey Mullet,2001,Asset value,0,1005.1,3.2
Grey Mullet,2002,Asset value,784.7,1005.6,3.8
Grey Mullet,2003,Asset value,798.6,1005.6,3
Grey Mullet,2004,Asset value,885.8,1005.6,3.6
Grey Mullet,2005,Asset value,941,1005.6,3.4
Grey Mullet,2006,Asset value,878.8,1005.6,3.2
Grey Mullet,2007,Asset value,848.4,1005.6,3.9
Grey Mullet,2008,Asset value,848.4,1005.6,4.2
Grey Mullet,2009,Asset value,814.2,1005.6,4.1
Grey Mullet,2010,Asset value,746.2,1005.6,4.8
Grey Mullet,2011,Asset value,825.6,1005.6,6.1
Grey Mullet,2012,Asset value,848.2,1005.6,5.1
Grey Mullet,2013,Asset value,869.1,1005.6,3.7
Grey Mullet,2014,Asset value,982.3,1005.6,3.9
Grey Mullet,2015,Asset value,902.4,1005.6,9.4
Grey Mullet,2016,Asset value,827.5,1005.6,10.6
Grey Mullet,2017,Asset value,835.2,1005.6,15.7
Grey Mullet,2018,Asset value,819.3,1005.6,14.7
Gurnard,1996,Asset value,0,4981.7,20.3
Gurnard,1997,Asset value,0,5280.4,19
Gurnard,1998,Asset value,0,5143.1,15.7
Gurnard,1999,Asset value,0,5143.1,13.1
